Movie name,Movie rate,Description,Creators,Trailer link,More Info
Bridgerton,7.4,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",Creator:Chris Van Dusen ,https://www.imdb.com/video/vi1696252185/?ref_=watch_pop_tr_vp_1,https://www.imdb.com/title/tt8740790/?ref_=watch_pop_tt_1
Cobra Kai,8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Stars:Ralph Macchio, William Zabka, Courtney Henggeler |See full cast & crew     ",https://www.imdb.com/video/vi4195926297/?ref_=watch_pop_tr_vp_2,https://www.imdb.com/title/tt7221388/?ref_=watch_pop_tt_2
Lupin,7.7,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","Stars:Omar Sy, Vincent Londez, Ludivine Sagnier |See full cast & crew     ",https://www.imdb.com/video/vi3849568537/?ref_=watch_pop_tr_vp_3,https://www.imdb.com/title/tt2531336/?ref_=watch_pop_tt_3
Vikings,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Creator:Michael Hirst ,https://www.imdb.com/video/vi3793207577/?ref_=watch_pop_tr_vp_4,https://www.imdb.com/title/tt2306299/?ref_=watch_pop_tt_4
The Mandalorian,8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Creator:Jon Favreau ,https://www.imdb.com/video/vi1579860249/?ref_=watch_pop_tr_vp_5,https://www.imdb.com/title/tt8111088/?ref_=watch_pop_tt_5
Pieces of a Woman,7.1,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Director:Kornél Mundruczó ,https://www.imdb.com/video/vi2316157209/?ref_=watch_pop_tr_vp_6,https://www.imdb.com/title/tt11161474/?ref_=watch_pop_tt_6
Soul,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Directors:Pete Docter, Kemp Powers (co-director)    ",https://www.imdb.com/video/vi2905456921/?ref_=watch_pop_tr_vp_7,https://www.imdb.com/title/tt2948372/?ref_=watch_pop_tt_7
A Discovery of Witches,8.1,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.","Stars:Matthew Goode, Teresa Palmer, Gregg Chillin |See full cast & crew     ",https://www.imdb.com/video/vi4023697689/?ref_=watch_pop_tr_vp_8,https://www.imdb.com/title/tt2177461/?ref_=watch_pop_tt_8
Attack on Titan,8.9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:Yûki Kaji, Marina Inoue, Yui Ishikawa |See full cast & crew     ",https://www.imdb.com/video/vi2221128729/?ref_=watch_pop_tr_vp_9,https://www.imdb.com/title/tt2560140/?ref_=watch_pop_tt_9
Wonder Woman 1984,5.4,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Director:Patty Jenkins ,https://www.imdb.com/video/vi2165358873/?ref_=watch_pop_tr_vp_10,https://www.imdb.com/title/tt7126948/?ref_=watch_pop_tt_10
Tenet,7.5,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Director:Christopher Nolan ,https://www.imdb.com/video/vi3067265305/?ref_=watch_pop_tr_vp_11,https://www.imdb.com/title/tt6723592/?ref_=watch_pop_tt_11
The Crown,8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Creator:Peter Morgan ,https://www.imdb.com/video/vi1374667033/?ref_=watch_pop_tr_vp_12,https://www.imdb.com/title/tt4786824/?ref_=watch_pop_tt_12
Game of Thrones,9.3,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Creators:David Benioff, D.B. Weiss ",https://www.imdb.com/video/vi2985147417/?ref_=watch_pop_tr_vp_13,https://www.imdb.com/title/tt0944947/?ref_=watch_pop_tt_13
The Expanse,8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","Creators:Daniel Abraham, Mark Fergus, Ty Franck |1 more credit     ",https://www.imdb.com/video/vi2559230233/?ref_=watch_pop_tr_vp_14,https://www.imdb.com/title/tt3230854/?ref_=watch_pop_tt_14
Promising Young Woman,7.5,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Director:Emerald Fennell ,https://www.imdb.com/video/vi4019175705/?ref_=watch_pop_tr_vp_15,https://www.imdb.com/title/tt9620292/?ref_=watch_pop_tt_15
The Stand,5.4,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.","Creators:Josh Boone, Benjamin Cavell ",https://www.imdb.com/video/vi2525675801/?ref_=watch_pop_tr_vp_16,https://www.imdb.com/title/tt1831804/?ref_=watch_pop_tt_16
American Gods,7.8,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.","Creators:Bryan Fuller, Michael Green ",https://www.imdb.com/video/vi2220933401/?ref_=watch_pop_tr_vp_17,https://www.imdb.com/title/tt1898069/?ref_=watch_pop_tt_17
Star Trek: Discovery,7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Creators:Bryan Fuller, Alex Kurtzman ",https://www.imdb.com/video/vi3384525081/?ref_=watch_pop_tr_vp_18,https://www.imdb.com/title/tt5171438/?ref_=watch_pop_tt_18
Outside the Wire,5.3,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.",Director:Mikael Håfström ,https://www.imdb.com/video/vi1057997081/?ref_=watch_pop_tr_vp_19,https://www.imdb.com/title/tt10451914/?ref_=watch_pop_tt_19
Schitt's Creek,8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","Creators:Dan Levy, Eugene Levy ",https://www.imdb.com/video/vi289325337/?ref_=watch_pop_tr_vp_20,https://www.imdb.com/title/tt3526078/?ref_=watch_pop_tt_20
Your Honor,8.2,"A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.",Creator:Peter Moffat ,https://www.imdb.com/video/vi3186082073/?ref_=watch_pop_tr_vp_21,https://www.imdb.com/title/tt7440726/?ref_=watch_pop_tt_21
The Office,8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Creators:Greg Daniels, Ricky Gervais, Stephen Merchant ",https://www.imdb.com/video/vi2304687129/?ref_=watch_pop_tr_vp_22,https://www.imdb.com/title/tt0386676/?ref_=watch_pop_tt_22
Yellowstone,8.5,A ranching family in Montana faces off against others encroaching on their land.,"Creators:Taylor Sheridan, John Linson ",https://www.imdb.com/video/vi2088680985/?ref_=watch_pop_tr_vp_23,https://www.imdb.com/title/tt4236770/?ref_=watch_pop_tt_23
News of the World,6.9,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",Director:Paul Greengrass ,https://www.imdb.com/video/vi3027681561/?ref_=watch_pop_tr_vp_24,https://www.imdb.com/title/tt6878306/?ref_=watch_pop_tt_24
Grey's Anatomy,7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,Creator:Shonda Rhimes ,https://www.imdb.com/video/vi3052649497/?ref_=watch_pop_tr_vp_25,https://www.imdb.com/title/tt0413573/?ref_=watch_pop_tt_25
Peaky Blinders,8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Creator:Steven Knight ,https://www.imdb.com/video/vi496615193/?ref_=watch_pop_tr_vp_26,https://www.imdb.com/title/tt2442560/?ref_=watch_pop_tt_26
The Walking Dead,8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Creators:Frank Darabont, Angela Kang ",https://www.imdb.com/video/vi1443873049/?ref_=watch_pop_tr_vp_27,https://www.imdb.com/title/tt1520211/?ref_=watch_pop_tt_27
Chilling Adventures of Sabrina,7.5,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",Creator:Roberto Aguirre-Sacasa ,https://www.imdb.com/video/vi269795609/?ref_=watch_pop_tr_vp_28,https://www.imdb.com/title/tt7569592/?ref_=watch_pop_tt_28
This Is Us,8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",Creator:Dan Fogelman ,https://www.imdb.com/video/vi654229785/?ref_=watch_pop_tr_vp_29,https://www.imdb.com/title/tt5555260/?ref_=watch_pop_tt_29
Supernatural,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Creator:Eric Kripke ,https://www.imdb.com/video/vi3786522905/?ref_=watch_pop_tr_vp_30,https://www.imdb.com/title/tt0460681/?ref_=watch_pop_tt_30
The Karate Kid,7.3,A martial arts master agrees to teach karate to a bullied teenager.,Director:John G. Avildsen ,https://www.imdb.com/video/vi813087257/?ref_=watch_pop_tr_vp_31,https://www.imdb.com/title/tt0087538/?ref_=watch_pop_tt_31
We Can Be Heroes,4.7,"When alien invaders kidnap Earth's superheroes, their children must team up and learn to work together if they want to save their parents and the world.",Director:Robert Rodriguez ,https://www.imdb.com/video/vi2369765657/?ref_=watch_pop_tr_vp_32,https://www.imdb.com/title/tt10600398/?ref_=watch_pop_tt_32
Breaking Bad,9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Creator:Vince Gilligan ,https://www.imdb.com/video/vi564706585/?ref_=watch_pop_tr_vp_33,https://www.imdb.com/title/tt0903747/?ref_=watch_pop_tt_33
Criminal Minds,8.1,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",Creator:Jeff Davis ,https://www.imdb.com/video/vi2969812249/?ref_=watch_pop_tr_vp_34,https://www.imdb.com/title/tt0452046/?ref_=watch_pop_tt_34
The Boys,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Creator:Eric Kripke ,https://www.imdb.com/video/vi1650703897/?ref_=watch_pop_tr_vp_35,https://www.imdb.com/title/tt1190634/?ref_=watch_pop_tt_35
Locked Down,5.0,"A couple attempts a high-risk, high-stakes jewelry heist at a department store.",Director:Doug Liman ,https://www.imdb.com/video/vi58048793/?ref_=watch_pop_tr_vp_36,https://www.imdb.com/title/tt13061914/?ref_=watch_pop_tt_36
Shameless,8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Creators:John Wells, Paul Abbott ",https://www.imdb.com/video/vi3560030489/?ref_=watch_pop_tr_vp_37,https://www.imdb.com/title/tt1586680/?ref_=watch_pop_tt_37
The King of Staten Island,7.1,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,Director:Judd Apatow ,https://www.imdb.com/video/vi2916793881/?ref_=watch_pop_tr_vp_38,https://www.imdb.com/title/tt9686708/?ref_=watch_pop_tt_38
One Night in Miami,7.3,"One Night in Miami is a fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the civil rights movement and cultural upheaval of the 60s.",Director:Regina King ,https://www.imdb.com/video/vi2987245849/?ref_=watch_pop_tr_vp_39,https://www.imdb.com/title/tt10612922/?ref_=watch_pop_tt_39
Outlander,8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,Creator:Ronald D. Moore ,https://www.imdb.com/video/vi1308737305/?ref_=watch_pop_tr_vp_40,https://www.imdb.com/title/tt3006802/?ref_=watch_pop_tt_40
Brooklyn Nine-Nine,8.4,"""Brooklyn Nine-Nine"" follows the exploits of hilarious Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Creators:Dan Goor, Michael Schur ",https://www.imdb.com/video/vi3015883801/?ref_=watch_pop_tr_vp_41,https://www.imdb.com/title/tt2467372/?ref_=watch_pop_tt_41
The Midnight Sky,5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",Director:George Clooney ,https://www.imdb.com/video/vi4163748121/?ref_=watch_pop_tr_vp_42,https://www.imdb.com/title/tt10539608/?ref_=watch_pop_tt_42
Synchronic,6.2,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.","Directors:Justin Benson, Aaron Moorhead ",https://www.imdb.com/video/vi3802513689/?ref_=watch_pop_tr_vp_43,https://www.imdb.com/title/tt9016974/?ref_=watch_pop_tt_43
Fargo,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Creator:Noah Hawley ,https://www.imdb.com/video/vi2438774297/?ref_=watch_pop_tr_vp_44,https://www.imdb.com/title/tt2802850/?ref_=watch_pop_tt_44
Shadow in the Cloud,4.7,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,Director:Roseanne Liang ,https://www.imdb.com/video/vi2754461977/?ref_=watch_pop_tr_vp_45,https://www.imdb.com/title/tt9691136/?ref_=watch_pop_tt_45
Friends,8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Creators:David Crane, Marta Kauffman ",https://www.imdb.com/video/vi2494742297/?ref_=watch_pop_tr_vp_46,https://www.imdb.com/title/tt0108778/?ref_=watch_pop_tt_46
Stranger Things,8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Creators:Matt Duffer, Ross Duffer ",https://www.imdb.com/video/vi3594371353/?ref_=watch_pop_tr_vp_47,https://www.imdb.com/title/tt4574334/?ref_=watch_pop_tt_47
Law & Order: Special Victims Unit,8.0,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.",Creator:Dick Wolf ,https://www.imdb.com/video/vi342016281/?ref_=watch_pop_tr_vp_48,https://www.imdb.com/title/tt0203259/?ref_=watch_pop_tt_48
The Flight Attendant,7.1,"A reckless flight attendant with an alcoholism problem, wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. When questioned by FBI agents and still unable to piece the night together, she begins to wonder if she could be the killer.",Creator:Steve Yockey ,https://www.imdb.com/video/vi3526148377/?ref_=watch_pop_tr_vp_49,https://www.imdb.com/title/tt7569576/?ref_=watch_pop_tt_49
Lucifer,8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Creator:Tom Kapinos ,https://www.imdb.com/video/vi728874521/?ref_=watch_pop_tr_vp_50,https://www.imdb.com/title/tt4052886/?ref_=watch_pop_tt_50
The Big Bang Theory,8.1,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Creators:Chuck Lorre, Bill Prady ",https://www.imdb.com/video/vi1506983193/?ref_=watch_pop_tr_vp_51,https://www.imdb.com/title/tt0898266/?ref_=watch_pop_tt_51
The Sopranos,9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Creator:David Chase ,https://www.imdb.com/video/vi2793782553/?ref_=watch_pop_tr_vp_52,https://www.imdb.com/title/tt0141842/?ref_=watch_pop_tt_52
His Dark Materials,7.9,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Stars:Dafne Keen, Amir Wilson, Kit Connor |See full cast & crew     ",https://www.imdb.com/video/vi2262155545/?ref_=watch_pop_tr_vp_53,https://www.imdb.com/title/tt5607976/?ref_=watch_pop_tt_53
Master,7.7,"An alcoholic professor who is sent to a juvenile school, where he clashes with a gangster, who uses the children of the school for criminal activities.",Director:Lokesh Kanagaraj ,https://www.imdb.com/video/vi947568921/?ref_=watch_pop_tr_vp_54,https://www.imdb.com/title/tt10579952/?ref_=watch_pop_tt_54
Virgin River,7.5,"After seeing an ad for a midwife, a big-city nurse moves to the redwood forests of northern California, where she meets an intriguing man.",Creator:Sue Tenney ,https://www.imdb.com/video/vi2378350873/?ref_=watch_pop_tr_vp_55,https://www.imdb.com/title/tt9077530/?ref_=watch_pop_tt_55
The Blacklist,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",Creator:Jon Bokenkamp ,https://www.imdb.com/video/vi2404695577/?ref_=watch_pop_tr_vp_56,https://www.imdb.com/title/tt2741602/?ref_=watch_pop_tt_56
Doctor Who,8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Creator:Sydney Newman ,https://www.imdb.com/video/vi3543646489/?ref_=watch_pop_tr_vp_57,https://www.imdb.com/title/tt0436992/?ref_=watch_pop_tt_57
Fatale,5.0,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",Director:Deon Taylor ,https://www.imdb.com/video/vi2319434009/?ref_=watch_pop_tr_vp_58,https://www.imdb.com/title/tt8829830/?ref_=watch_pop_tt_58
Traces,6.9,"While attending an online forensic course, young lab assistant discovers that the fictitious case study has a link to her past. With a help of two female professors she works on bringing a killer to justice.","Stars:Molly Windsor, Laura Fraser, Jennifer Spence |See full cast & crew     ",https://www.imdb.com/video/vi2350825241/?ref_=watch_pop_tr_vp_59,https://www.imdb.com/title/tt9788012/?ref_=watch_pop_tt_59
Nomadland,7.7,"After losing everything in the Great Recession, a woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Director:Chloé Zhao ,https://www.imdb.com/video/vi3362832665/?ref_=watch_pop_tr_vp_60,https://www.imdb.com/title/tt9770150/?ref_=watch_pop_tt_60
Another Round,7.8,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",Director:Thomas Vinterberg ,https://www.imdb.com/video/vi4106928409/?ref_=watch_pop_tr_vp_61,https://www.imdb.com/title/tt10288566/?ref_=watch_pop_tt_61
The Witcher,8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",Creator:Lauren Schmidt ,https://www.imdb.com/video/vi3826892569/?ref_=watch_pop_tr_vp_62,https://www.imdb.com/title/tt5180504/?ref_=watch_pop_tt_62
All Creatures Great and Small,8.3,The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire. A remake of the 1978-1990 series. Taken from the autobiographical books by James Herriot.,"Stars:Nicholas Ralph, Anna Madeley, Samuel West |See full cast & crew     ",https://www.imdb.com/video/vi3012608281/?ref_=watch_pop_tr_vp_63,https://www.imdb.com/title/tt10590066/?ref_=watch_pop_tt_63
The Last Kingdom,8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","Stars:Alexander Dreymon, Eliza Butterworth, Ian Hart |See full cast & crew     ",https://www.imdb.com/video/vi81247769/?ref_=watch_pop_tr_vp_64,https://www.imdb.com/title/tt4179452/?ref_=watch_pop_tt_64
Servant,7.6,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,Creator:Tony Basgallop ,https://www.imdb.com/video/vi2372976921/?ref_=watch_pop_tr_vp_65,https://www.imdb.com/title/tt8068860/?ref_=watch_pop_tt_65
The Rookie,8.1,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",Creator:Alexi Hawley ,https://www.imdb.com/video/vi3567828505/?ref_=watch_pop_tr_vp_66,https://www.imdb.com/title/tt7587890/?ref_=watch_pop_tt_66
NCIS: Naval Criminal Investigative Service,7.7,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Creators:Donald P. Bellisario, Don McGill ",https://www.imdb.com/video/vi1076935961/?ref_=watch_pop_tr_vp_67,https://www.imdb.com/title/tt0364845/?ref_=watch_pop_tt_67
Dickinson,7.3,An inside look at the world of writer Emily Dickinson.,Creator:Alena Smith ,https://www.imdb.com/video/vi805749017/?ref_=watch_pop_tr_vp_68,https://www.imdb.com/title/tt8518136/?ref_=watch_pop_tt_68
Prodigal Son,7.7,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","Creators:Chris Fedak, Sam Sklaver ",https://www.imdb.com/video/vi2344927001/?ref_=watch_pop_tr_vp_69,https://www.imdb.com/title/tt10327354/?ref_=watch_pop_tt_69
Community,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Creator:Dan Harmon ,https://www.imdb.com/video/vi3203645209/?ref_=watch_pop_tr_vp_70,https://www.imdb.com/title/tt1439629/?ref_=watch_pop_tt_70
Wonder Woman,7.4,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Director:Patty Jenkins ,https://www.imdb.com/video/vi3944268057/?ref_=watch_pop_tr_vp_71,https://www.imdb.com/title/tt0451279/?ref_=watch_pop_tt_71
Snowpiercer,6.8,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","Creators:Josh Friedman, Graeme Manson ",https://www.imdb.com/video/vi3127951641/?ref_=watch_pop_tr_vp_72,https://www.imdb.com/title/tt6156584/?ref_=watch_pop_tt_72
